feature,importance
Credit_Score,0.15119688282739935
Loan_Balance,0.14824724512802692
Credit_Utilization,0.12158411649891934
Age,0.11020563543431441
Income,0.10882073097909925
Debt_to_Income_Ratio,0.09096516830520018
Payment_Risk_Score,0.07052203668234736
Account_Tenure,0.06704666552294407
Missed_Payments,0.05020830663572747
Credit_Card_Type_encoded,0.026136526276006856
Total_Missed_Payments,0.025123262524738704
Employment_Status_encoded,0.021023028713265286
Total_Late_Payments,0.004553842425798622
Location_encoded,0.0027994058178582265
High_Utilization,0.0012896591436874893
High_DTI,0.00027742326832821333
Low_Credit_Score,6.381633822290003e-08
